#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
294;General Dynamics;GD;S&P 100;Defensa;18,26;6,57;2465000000,0;3465000000,0;818896749,0;13,48;11,23;15,56;6,05;2556000000,0;3806000000,0;576759247,0;12,41;10,37;17,14;6,77;2696000000,0;3196000000,0;1064904581,0;12,2;10,34;16,43;7,35;3206000000,0;3959000000,0;1305411969,0;12,23;10,48;16,43;7,35;3206000000,0;3959000000,0;1305411969,0;12,23;10,48
295;GE Aerospace;GE;S&P 100;Aeroespacial;1,0;0,18;-5833000000,0;5255000000,0;-8610520026,0;13,88;9,82;34,6;5,47;1045000000,0;4327000000,0;-917802456,0;35,78;32,45;33,9;5,32;2890000000,0;3678000000,0;419680735,0;25,3;22,24;46,6;6,69;7438000000,0;7264000000,0;2024518500,0;26,31;23,65;46,6;6,69;7438000000,0;7264000000,0;2024518500,0;26,31;23,65
296;General Motors;GM;S&P 100;Automocion;14,65;3,76;1063000000,0;-5144000000,0;-3293804315,0;15,23;8,03;15,75;3,71;2608000000,0;-3680000000,0;-3587822413,0;13,5;6,58;9,53;2,15;4056000000,0;-5980000000,0;-8124509792,0;11,61;5,0;4,41;0,96;-629000000,0;1771000000,0;-11608194135,0;9,96;2,08;4,41;0,96;-629000000,0;1771000000,0;-11608194135,0;9,96;2,08
297;Eli Lilly;LLY;S&P 100;Salud;58,64;12,62;3040400000,0;4600400000,0;3960911492,0;30,34;25,01;48,65;8,19;807000000,0;-3152000000,0;5317910804,0;34,73;30,26;74,2;13,45;11167000000,0;414000000,0;10204236467,0;41,75;37,83;77,78;18,35;18353000000,0;5964000000,0;17640666004,0;48,62;45,56;77,78;18,35;18353000000,0;5964000000,0;17640666004,0;48,62;45,56
298;Lockheed Martin;LMT;S&P 100;Defensa;61,86;10,84;10093000000,0;6132000000,0;3307146228,0;13,2;11,07;101,24;13,19;8089000000,0;6229000000,0;4861231297,0;15,46;13,34;84,26;9,59;8089000000,0;5287000000,0;3329001415,0;12,41;10,21;74,65;8,38;8251000000,0;6908000000,0;3043747248,0;11,63;9,38;74,65;8,38;8251000000,0;6908000000,0;3043747248,0;11,63;9,38
299;Lowe's;LOW;S&P 100;Consumo discrecional;;;;;;;;-45,16;14,73;15560000000,0;6760000000,0;5327592368,0;12,55;10,5;-51,34;18,49;8558000000,0;6176000000,0;6753899754,0;15,72;13,5;-48,89;16,14;7153000000,0;7698000000,0;6128235792,0;15,05;12,7;-67,1;12,29;12038000000,0;7651000000,0;5041136326,0;14,45;11,91
300;Mastercard;MA;S&P 100;Financiero;157,67;25,64;10497000000,0;10098000000,0;8364415813,0;58,25;54,88;161,57;26,37;12446000000,0;10892000000,0;9572244587,0;59,82;56,63;198,52;26,78;16210000000,0;13586000000,0;11110328077,0;59,63;56,45;193,46;27,64;16925000000,0;16433000000,0;13038103951,0;62,34;58,86;193,46;27,64;16925000000,0;16433000000,0;13038103951,0;62,34;58,86
301;Medtronic;MDT;S&P 100;Salud;9,59;5,54;5977000000,0;5978000000,0;-718667450,0;27,7;19,16;7,3;4,13;3982000000,0;4580000000,0;-2319097808,0;27,85;19,21;7,32;4,09;6273000000,0;5200000000,0;-2080775754,0;25,35;17,17;9,71;5,09;7324000000,0;5185000000,0;-1004320938,0;27,49;18,96;9,71;5,09;7324000000,0;5185000000,0;-1004320938,0;27,49;18,96
302;MetLife;MET;S&P 100;Financiero;17,68;0,8;13972000000,0;13044000000,0;;11,83;10,83;5,26;0,23;14512000000,0;13721000000,0;;5,78;4,72;16,13;0,65;13777000000,0;14598000000,0;;10,51;9,5;11,9;0,45;16650000000,0;17092000000,0;;8,56;7,56;11,9;0,45;16650000000,0;17092000000,0;;8,56;7,56
303;Altria;MO;S&P 100;Consumo basico;-145,08;15,6;6946000000,0;8051000000,0;4376888542,0;42,26;41,17;-229,66;21,08;8523000000,0;9091000000,0;6804730578,0;60,23;58,91;-503,31;32,02;7490000000,0;8611000000,0;10079303160,0;73,7;72,3;-198,37;19,84;9459000000,0;9074000000,0;5748832191,0;53,79;52,47;-198,37;19,84;9459000000,0;9074000000,0;5748832191,0;53,79;52,47
304;Morgan Stanley;MS;S&P 100;Financiero;11,01;0,93;28087000000,0;-9475000000,0;;;;9,18;0,76;-23329000000,0;-36948000000,0;;;;12,81;1,1;26035000000,0;-2100000000,0;;;;15,1;1,19;18989000000,0;-20787000000,0;;;;15,1;1,19;18989000000,0;-20787000000,0;;;
305;NextEra Energy;NEE;S&P 100;Utilities;10,57;2,61;8808000000,0;-1480000000,0;-6837659812,0;43,93;21,08;15,4;4,12;9940000000,0;1753000000,0;-2814908760,0;59,63;37,75;13,86;3,65;16384000000,0;4746000000,0;-5375623561,0;56,69;33,42;12,52;3,21;16934000000,0;3211000000,0;-7701755762,0;58,53;33,2;12,52;3,21;16934000000,0;3211000000,0;-7701755762,0;58,53;33,2
306;Oracle;ORCL;S&P 100;Tecnologia;-107,99;6,15;-3222000000,0;5028000000,0;1953434289,0;31,87;24,51;792,45;6,33;20914000000,0;8470000000,0;2865205948,0;37,51;25,29;120,26;7,42;8307000000,0;11807000000,0;4845140622,0;40,4;28,8;60,84;7,39;3313000000,0;-394000000,0;4729702232,0;41,66;30,9;60,84;7,39;3313000000,0;-394000000,0;4729702232,0;41,66;30,9
307;Pfizer;PFE;S&P 100;Salud;32,79;15,91;22515000000,0;26031000000,0;20115005314,0;40,55;35,55;2,38;0,94;40738000000,0;4793000000,0;-11846310000,0;16,05;5,49;9,11;3,76;2676000000,0;9835000000,0;-2556867486,0;28,49;17,47;8,99;3,73;9001000000,0;9075000000,0;-3863559521,0;26,82;16,29;8,99;3,73;9001000000,0;9075000000,0;-3863559521,0;26,82;16,29
308;Philip Morris;PM;S&P 100;Consumo basico;-101,02;14,67;23902000000,0;9726000000,0;7262265910,0;42,44;39,05;-69,6;11,96;11585000000,0;7883000000,0;6181758852,0;38,02;34,05;-60,06;11,42;9150000000,0;10773000000,0;7399463031,0;41,58;36,86;-113,55;16,4;12370000000,0;10664000000,0;8916419150,0;42,96;38,05;-113,55;16,4;12370000000,0;10664000000,0;8916419150,0;42,96;38,05
309;PayPal;PYPL;S&P 100;Financiero;11,93;3,08;6896000000,0;5107000000,0;-51808223,0;18,12;13,34;20,17;5,17;4695000000,0;4220000000,0;1822290150,0;22,94;19,34;20,31;5,27;6652000000,0;6767000000,0;1785470407,0;21,21;17,96;25,83;6,53;6046000000,0;5564000000,0;2901375747,0;23,2;20,3;25,83;6,53;6046000000,0;5564000000,0;2901375747,0;23,2;20,3
310;RTX Corporation;RTX;S&P 100;Defensa;7,16;3,27;4391000000,0;4393000000,0;-3120892758,0;17,18;11,06;5,34;1,97;17053000000,0;4717000000,0;-4372138436,0;14,07;7,96;7,94;2,93;1423000000,0;3923000000,0;-2301576726,0;15,52;10,11;10,32;3,94;4019000000,0;7448000000,0;-429243880,0;16,87;11,93;10,32;3,94;4019000000,0;7448000000,0;-429243880,0;16,87;11,93
311;Charles Schwab;SCHW;S&P 100;Financiero;19,62;1,3;15212000000,0;1086000000,0;;;;12,37;1,03;40049000000,0;18887000000,0;;;;12,28;1,24;-11886000000,0;2050000000,0;;;;17,91;1,8;-5487000000,0;8763000000,0;;;;17,91;1,8;-5487000000,0;8763000000,0;;;
312;Southern Company;SO;S&P 100;Utilities;11,63;2,62;2516000000,0;-1621000000,0;-4464011196,0;35,21;21,33;12,64;2,85;2829000000,0;-1542000000,0;-4053341174,0;46,64;26,89;13,25;3,03;3802000000,0;833000000,0;-3840272679,0;49,54;29,83;12,05;2,79;3857000000,0;-2935000000,0;-4233880064,0;48,28;27,87;12,05;2,79;3857000000,0;-2935000000,0;-4233880064,0;48,28;27,87
313;Simon Property Group;SPG;S&P 100;Real Estate;68,17;6,48;2844119000,0;3116580000,0;803139184,0;86,73;62,31;75,53;6,66;4108825000,0;3137510000,0;979540628,0;86,36;62,8;80,59;7,32;1185329000,0;3059071000,0;1306331501,0;84,14;61,34;88,85;11,4;3592628000,0;3202205000,0;3408100421,0;124,58;100,16;88,85;11,4;3592628000,0;3202205000,0;3408100421,0;124,58;100,16
314;AT&T;T;S&P 100;Comunicaciones;-8,74;-2,12;-25862000000,0;12397000000,0;-25473900000,0;17,42;2,5;13,94;3,54;19368000000,0;20461000000,0;-7574705699,0;37,03;21,69;10,49;2,77;6234000000,0;18508000000,0;-10621082724,0;36,0;19,17;19,86;5,22;27941000000,0;19442000000,0;-35695489,0;43,53;26,91;19,86;5,22;27941000000,0;19442000000,0;-35695489,0;43,53;26,91
315;Target;TGT;S&P 100;Consumo discrecional;;;;;;;;24,75;5,21;952000000,0;-1510000000,0;461977063,0;6,04;3,57;30,81;7,48;3668000000,0;3815000000,0;1646000846,0;8,01;5,4;27,89;7,08;4078000000,0;4476000000,0;1452997225,0;8,12;5,32;22,92;6,23;3176000000,0;2835000000,0;990062177,0;7,97;4,97
316;Thermo Fisher Scientific;TMO;S&P 100;Salud;15,8;7,15;7565000000,0;6911000000,0;1381339221,0;26,59;19,06;12,83;6,07;6772000000,0;6927000000,0;549876189,0;25,85;17,9;12,78;6,51;4864000000,0;7267000000,0;921104527,0;26,9;19,65;12,55;6,08;11640000000,0;6293000000,0;461468588,0;25,83;19,59;12,55;6,08;11640000000,0;6293000000,0;461468588,0;25,83;19,59
