#;Empresa;Ticker;Índice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
44;Commerzbank;CBK.DE;DAX 40;Banca;4,78;0,3;25184000000,0;25184000000,0;;;;6,95;0,43;19284000000,0;19284000000,0;;;;7,77;0,48;-21442000000,0;-21442000000,0;;;;7,76;0,44;-7874000000,0;-7874000000,0;;;;7,76;0,44;-7874000000,0;-7874000000,0;;;
45;Continental;CON.DE;DAX 40;Automoción;0,5;0,18;1573600000,0;126400000,0;-1091117000,0;10,17;2,02;8,45;3,06;734000000,0;1186000000,0;-304843857,0;10,16;4,92;8,14;3,16;1489000000,0;1878000000,0;-176261139,0;16,09;10,56;-4,19;-0,93;1630000000,0;1118000000,0;-590180000,0;9,7;1,64;-4,19;-0,93;1630000000,0;1118000000,0;-590180000,0;9,7;1,64
46;Covestro;1COV.DE;DAX 40;Química;-3,84;-1,86;1133000000,0;138000000,0;-700400000,0;9,16;1,65;-3,0;-1,45;-185000000,0;232000000,0;-645620000,0;7,9;1,68;-4,0;-1,95;-325000000,0;89000000,0;-705400000,0;7,87;0,93;-9,2;-4,78;-353000000,0;-283000000,0;-1000184959,0;5,81;-2,59;-9,2;-4,78;-353000000,0;-283000000,0;-1000184959,0;5,81;-2,59
47;Daimler Truck;DTG.DE;DAX 40;Automoción;13,29;4,17;3403000000,0;-1655000000,0;-480090067,0;9,45;7,25;17,47;5,3;3024000000,0;-920000000,0;375539478,0;12,22;10,19;13,06;3,93;1786000000,0;-321000000,0;-847395848,0;10,11;7,81;9,14;2,72;5415000000,0;2861000000,0;-1915074952,0;9,23;6,87;9,14;2,72;5415000000,0;2861000000,0;-1915074952,0;9,23;6,87
48;Deutsche Bank;DBK.DE;DAX 40;Banca;7,83;0,41;-431000000,0;-2450000000,0;;;;6,53;0,36;4611000000,0;5184000000,0;;;;4,33;0,24;-29797000000,0;-29112000000,0;;;;8,81;0,48;43451000000,0;46621000000,0;;;;8,81;0,48;43451000000,0;46621000000,0;;;
49;Deutsche Börse;DB1.DE;DAX 40;Finanzas;17,64;0,56;1896700000,0;2158400000,0;-234263567,0;48,72;41,92;17,84;0,73;5211400000,0;2281200000,0;-224395682,0;48,95;42,08;18,09;0,88;1828000000,0;2050000000,0;116720000,0;48,75;41,69;17,64;0,67;1847000000,0;2430000000,0;124995870,0;48,1;41,31;17,64;0,67;1847000000,0;2430000000,0;124995870,0;48,1;41,31
50;Deutsche Post (DHL);DHL.DE;DAX 40;Logística;23,06;7,83;7053000000,0;7053000000,0;2473873397,0;13,42;9,04;16,35;5,5;5877000000,0;5877000000,0;816613764,0;13,22;7,78;14,0;4,77;5786000000,0;5786000000,0;399800111,0;12,84;7,24;15,75;4,93;6324000000,0;6324000000,0;519392406,0;13,53;7,67;15,75;4,93;6324000000,0;6324000000,0;519392406,0;13,53;7,67
51;Deutsche Telekom;DTE.DE;DAX 40;Telecomunicaciones;16,48;2,68;711000000,0;11705000000,0;-6539195605,0;39,15;14,66;31,25;6,13;17705000000,0;19432000000,0;-7104972727,0;38,69;17,15;17,71;3,68;20703000000,0;20703000000,0;1272111147,0;46,58;25,81;15,46;3,32;21371000000,0;21371000000,0;-296114176,0;42,24;22,01;15,46;3,32;21371000000,0;21371000000,0;-296114176,0;42,24;22,01
52;E.ON;EOAN.DE;DAX 40;Utilities;11,5;1,37;3920000000,0;5469000000,0;-3206441542,0;6,05;3,13;3,66;0,46;-356000000,0;-356000000,0;-4206940000,0;6,4;2,65;25,4;4,07;-1298000000,0;-1298000000,0;643024100,0;17,26;11,77;9,0;1,57;-937000000,0;-937000000,0;-2657900359,0;11,79;6,62;9,0;1,57;-937000000,0;-937000000,0;-2657900359,0;11,79;6,62
53;Fresenius;FRE.DE;DAX 40;Salud;6,72;1,8;3544000000,0;3005000000,0;-3533371271,0;14,39;9,02;-3,13;-1,31;4056000000,0;3170000000,0;-1907320000,0;12,78;6,13;2,41;1,08;-609000000,0;1387000000,0;-1233215791,0;15,82;10,18;6,62;3,05;-483000000,0;1077000000,0;-708328373,0;16,41;11,51;6,62;3,05;-483000000,0;1077000000,0;-708328373,0;16,41;11,51
54;Hannover Rück;HNR1.DE;DAX 40;Seguros;8,62;1,24;5803627000,0;4947100000,0;;6,49;6,87;18,02;2,78;5785500000,0;5785500000,0;;9,15;9,15;19,74;3,23;5681900000,0;5681900000,0;;14,07;14,07;20,43;3,7;5686900000,0;5686900000,0;;14,77;14,77;20,43;3,7;5686900000,0;5686900000,0;;14,77;14,77
55;Heidelberg Materials;HEI.DE;DAX 40;Materiales;9,65;4,8;-306800000,0;1085000000,0;-318543639,0;17,87;11,23;11,19;5,44;2642500000,0;1875400000,0;111575377,0;20,31;14,49;9,48;4,78;1368100000,0;1821600000,0;-323159644,0;20,81;13,51;10,69;5,37;1533100000,0;1840200000,0;52688130,0;21,48;14,96;10,69;5,37;1533100000,0;1840200000,0;52688130,0;21,48;14,96
56;Henkel;HEN3.DE;DAX 40;Consumo;6,27;3,8;550000000,0;654000000,0;-609171273,0;11,81;7,9;6,62;4,15;2061000000,0;2647000000,0;-495541716,0;13,59;9,32;9,24;5,69;3717000000,0;2494000000,0;35624414,0;17,04;13,21;9,93;6,26;1463000000,0;1842000000,0;217320704,0;17,19;13,88;9,93;6,26;1463000000,0;1842000000,0;217320704,0;17,19;13,88
57;Infineon;IFX.DE;DAX 40;Semiconductores;14,58;8,1;277000000,0;1670000000,0;594076328,0;31,85;20,15;18,41;11,03;213000000,0;966000000,0;1443888651,0;35,77;25,01;7,56;4,54;238000000,0;61000000,0;30059537,0;27,95;15,48;5,95;3,33;2628000000,0;1123000000,0;-808349091,0;23,96;10,89;5,95;3,33;2628000000,0;1123000000,0;-808349091,0;23,96;10,89
58;Mercedes-Benz;MBG.DE;DAX 40;Automoción;16,98;5,58;-3521000000,0;9995000000,0;1391478288,0;18,17;13,82;15,54;5,42;6072000000,0;6257000000,0;652386276,0;18,01;13,63;11,02;3,85;9070000000,0;9070000000,0;-4374556220,0;14,77;10,12;5,51;2,01;8264000000,0;8264000000,0;-8867198689,0;10,52;5,05;5,51;2,01;8264000000,0;8264000000,0;-8867198689,0;10,52;5,05
